============================= test session starts ==============================
platform linux -- Python 3.12.3, pytest-9.0.3, pluggy-1.6.0 -- /usr/bin/python3
cachedir: .pytest_cache
rootdir: /home/kity/oclab/agate/.worktrees/agate-TAG0017
configfile: pyproject.toml
plugins: asyncio-1.3.0, anyio-4.12.1, cov-7.1.0
agate/tests/unit/test_agate_gate_p5_count.py::test_gpc_4_bdd_3_timeout_seconds_excluded_from_aux_count PASSED [ 91%]
agate/tests/unit/test_agate_gate_p5_count.py::test_stream_lock_stderr_hits_merged_output PASSED [ 92%]
agate/tests/unit/test_agate_read_p5_commands.py::test_p5c_1_p2_with_p5_and_formatters_output_commands PASSED [ 94%]
agate/tests/unit/test_agate_read_p5_commands.py::test_p5c_2_p2_empty_gate_commands_output_empty PASSED [ 95%]
agate/tests/unit/test_agate_read_p5_commands.py::test_p5c_3_p2_no_gate_commands_block_output_empty PASSED [ 97%]
agate/tests/unit/test_agate_read_p5_commands.py::test_p5c_5_bdd_1_3_timeout_seconds_not_treated_as_command PASSED [ 98%]
agate/tests/unit/test_agate_read_p5_commands.py::test_p5c_4_p5_quoted_values_stripped_with_formatter_link PASSED [100%]

============================== 71 passed in 5.75s ==============================
EXIT_CODE: 0
